pos	DEL	INS
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	1	0
25	1	0
26	1	0
27	1	0
28	1	0
29	1	0
30	3	0
31	3	0
32	3	0
33	3	0
34	3	0
35	2	0
36	2	0
37	2	0
38	2	0
39	2	1
40	3	1
41	1	1
42	1	1
43	2	1
44	2	1
45	3	1
46	3	1
47	4	1
48	4	1
49	5	1
50	6	1
51	6	1
52	6	1
53	8	0
54	8	0
55	7	0
56	6	0
57	6	0
58	6	0
59	6	0
60	6	0
61	5	0
62	6	0
63	6	0
64	4	0
65	3	0
66	4	0
67	4	0
68	4	0
69	5	0
70	5	0
71	5	0
72	5	0
73	6	0
74	6	0
75	6	0
76	6	0
77	7	0
78	7	0
79	9	0
80	13	0
81	16	0
82	59	0
83	63	1
84	64	1
85	67	1
86	69	1
87	70	1
88	70	1
89	72	1
90	71	1
91	69	1
92	70	1
93	70	2
94	70	2
95	68	2
96	67	1
97	65	1
98	65	1
99	64	1
100	63	1
101	63	1
102	63	1
103	63	1
104	61	1
105	59	0
106	59	0
107	5	0
108	5	0
109	3	0
110	2	0
111	1	0
112	1	0
113	1	0
114	1	0
115	1	0
116	1	0
117	1	0
118	1	0
119	0	0
120	0	0
121	0	0
122	0	0
123	0	0
124	0	0
125	0	0
126	0	0
127	0	0
128	1	0
129	1	0
130	1	0
131	1	0
132	1	0
133	1	0
134	3	0
135	3	0
136	3	0
137	3	0
138	3	0
139	3	1
140	3	1
141	3	1
142	3	1
143	3	1
144	3	1
145	1	1
146	1	1
147	1	1
148	2	1
149	2	1
150	2	2
151	2	1
152	2	1
153	4	1
154	4	1
155	4	1
156	4	1
157	4	1
158	4	2
159	4	2
160	4	2
161	4	2
162	4	2
163	5	2
164	4	2
165	5	2
166	3	2
167	3	2
168	3	2
169	3	2
170	3	2
171	3	2
172	3	2
173	3	2
174	3	2
175	2	2
176	3	2
177	3	2
178	2	3
179	2	3
180	2	3
181	2	3
182	2	3
183	2	3
184	2	3
185	2	3
186	2	3
187	3	3
188	3	3
189	2	3
190	2	3
191	2	3
192	2	3
193	3	3
194	3	3
195	3	3
196	3	3
197	3	0
198	4	0
199	5	0
200	5	0
201	5	0
202	5	0
203	6	0
204	6	0
205	5	0
206	5	0
207	5	0
208	5	0
209	4	0
210	3	0
211	3	0
212	3	0
213	3	0
214	3	0
215	2	0
216	2	0
217	3	0
218	4	0
219	4	0
220	4	0
221	4	0
222	4	1
223	4	1
224	4	1
225	4	1
226	4	1
227	4	1
228	4	1
229	3	1
230	3	1
231	3	1
232	3	1
233	3	1
234	3	1
235	4	0
236	4	0
237	4	0
238	4	0
239	4	0
240	4	0
241	4	1
242	4	1
243	4	1
244	5	1
245	5	1
246	4	1
247	4	1
