pos	DEL	INS
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	1	0
10	2	3
11	5	10
12	11	11
13	18	22
14	112	23
15	119	22
16	131	30
17	132	26
18	48	24
19	119	24
20	123	16
21	133	15
22	123	10
23	57	7
24	62	9
25	87	12
26	84	24
27	130	30
28	128	31
29	110	35
30	171	32
31	139	33
32	109	39
33	107	44
34	88	44
35	88	58
36	91	59
37	111	82
38	69	97
39	67	97
40	72	99
41	59	90
42	62	71
43	57	71
44	55	56
45	45	45
46	20	60
47	53	55
48	54	80
49	52	74
50	56	96
51	21	97
52	22	78
53	21	76
54	23	63
55	23	55
56	41	51
57	61	52
58	77	50
59	80	50
60	75	37
61	68	43
62	56	36
63	48	37
64	41	33
65	36	25
66	42	27
67	197	27
68	218	27
69	408	26
70	401	20
71	437	13
72	886	11
73	900	13
74	973	11
75	1395	14
76	963	14
77	943	13
78	930	12
79	98	14
80	227	12
81	228	10
82	394	16
83	511	22
84	423	26
85	491	28
86	1748	31
87	1799	31
88	1747	34
89	1715	38
90	617	41
91	1793	31
92	1731	28
93	14231	21
94	14322	19
95	14314	15
96	14339	15
97	623	22
98	848	20
99	709	23
100	698	26
101	969	22
102	954	18
103	871	10
104	842	9
105	228	18
106	161	21
107	65	25
108	68	34
109	67	49
110	41	56
111	43	63
112	44	58
113	48	60
114	111	77
115	112	67
116	116	65
117	118	58
118	67	44
119	85	39
120	80	41
121	76	34
122	73	57
123	31	57
124	41	53
125	48	65
126	59	61
127	56	64
128	62	57
129	61	71
130	67	100
131	73	107
132	62	111
133	78	108
134	223	77
135	218	56
136	216	42
137	194	35
138	361	37
139	351	33
140	353	29
141	496	34
142	392	24
143	350	24
144	373	23
145	181	17
146	160	18
147	154	22
148	90	37
149	73	51
150	67	69
151	172	85
152	159	83
153	243	84
154	226	73
155	134	74
156	130	66
157	49	66
158	50	68
159	36	50
160	34	44
161	21	37
162	31	30
163	36	43
164	29	52
165	56	46
166	52	45
167	58	47
168	54	47
169	33	50
170	37	56
171	35	55
172	34	50
173	36	47
174	49	62
175	49	57
176	66	49
177	73	52
178	220	45
179	306	38
180	309	59
181	305	59
182	148	55
183	74	53
184	75	52
185	61	46
186	55	50
187	56	57
188	38	53
189	35	57
190	47	67
191	50	73
192	43	78
193	51	78
194	40	78
195	52	68
196	53	51
197	56	47
198	47	40
199	50	31
200	40	34
201	37	35
202	190	37
203	220	38
204	203	44
205	214	68
206	71	71
207	77	68
208	52	69
209	35	47
210	52	32
211	58	22
212	54	15
213	54	17
214	52	30
215	50	37
216	41	41
217	37	42
218	38	44
219	38	35
220	16	28
221	31	27
222	34	37
223	43	43
224	58	50
225	46	53
226	113	56
227	122	52
228	101	74
229	143	77
230	137	67
231	147	85
232	132	69
233	89	54
234	85	50
235	47	43
236	50	38
237	54	32
238	57	35
239	50	25
240	42	28
241	26	32
242	24	27
243	23	22
244	23	22
245	24	21
