pos	DEL	INS
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	3
9	24	11
10	24	21
11	27	27
12	4	19
13	13	15
14	55	14
15	56	26
16	64	39
17	77	40
18	61	39
19	119	45
20	113	35
21	114	35
22	126	28
23	99	34
24	109	28
25	63	29
26	80	32
27	157	54
28	149	49
29	195	46
30	176	48
31	163	56
32	84	71
33	83	49
34	67	43
35	52	41
36	204	48
37	215	92
38	215	131
39	164	137
40	170	130
41	135	98
42	32	71
43	27	72
44	25	57
45	44	54
46	218	57
47	230	64
48	216	107
49	53	87
50	53	111
51	43	108
52	43	103
53	70	79
54	74	82
55	65	57
56	69	77
57	93	94
58	121	106
59	140	98
60	124	73
61	135	71
62	86	73
63	85	82
64	53	75
65	54	45
66	152	53
67	179	40
68	192	42
69	175	27
70	166	26
71	274	21
72	786	22
73	799	20
74	777	21
75	722	25
76	945	25
77	929	25
78	937	14
79	104	10
80	152	10
81	146	11
82	175	18
83	225	33
84	151	43
85	218	61
86	407	56
87	421	72
88	368	79
89	357	82
90	196	83
91	398	81
92	424	67
93	2453	64
94	2455	59
95	2435	62
96	2472	48
97	259	49
98	257	43
99	251	40
100	285	39
101	330	36
102	338	37
103	255	48
104	238	45
105	114	82
106	104	92
107	85	90
108	70	61
109	73	69
110	61	92
111	40	105
112	31	95
113	28	100
114	143	137
115	144	114
116	181	100
117	117	62
118	101	53
119	73	58
120	71	57
121	70	47
122	86	67
123	68	78
124	74	74
125	69	56
126	53	65
127	60	77
128	59	81
129	59	108
130	65	138
131	61	144
132	48	131
133	72	98
134	136	95
135	164	70
136	150	58
137	118	33
138	154	42
139	153	40
140	159	45
141	351	31
142	299	34
143	289	29
144	220	23
145	209	23
146	206	24
147	210	25
148	64	26
149	53	61
150	78	92
151	150	100
152	166	83
153	176	61
154	149	62
155	124	81
156	136	86
157	102	81
158	85	76
159	81	69
160	64	66
161	66	55
162	60	55
163	57	45
164	60	56
165	64	80
166	63	85
167	61	83
168	45	92
169	38	84
170	35	79
171	33	66
172	57	50
173	69	55
174	81	64
175	57	79
176	52	115
177	61	118
178	163	117
179	238	86
180	249	140
181	269	146
182	184	139
183	109	81
184	50	76
185	61	69
186	57	75
187	58	93
188	39	93
189	36	90
190	71	101
191	67	98
192	62	117
193	38	115
194	33	97
195	48	78
196	45	51
197	41	28
198	31	29
199	50	30
200	55	39
201	51	41
202	130	48
203	137	58
204	132	78
205	185	125
206	116	132
207	131	111
208	55	91
209	45	62
210	42	52
211	72	36
212	74	44
213	67	65
214	47	72
215	31	60
216	27	53
217	30	43
218	34	49
219	32	44
220	29	41
221	34	50
222	52	87
223	87	95
224	108	93
225	114	71
226	128	88
227	122	69
228	98	110
229	115	91
230	98	88
231	99	93
232	135	78
233	115	72
234	119	58
235	48	69
236	57	57
237	36	65
238	57	51
239	50	57
240	46	43
241	24	44
242	23	40
243	23	42
244	27	32
245	28	26
246	30	32
