pos	DEL	INS
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	1
11	2	4
12	4	5
13	7	7
14	56	9
15	55	8
16	59	10
17	63	8
18	18	7
19	66	10
20	64	9
21	71	13
22	66	14
23	29	15
24	39	12
25	43	11
26	39	13
27	62	15
28	68	16
29	54	18
30	96	14
31	75	15
32	68	22
33	66	30
34	52	30
35	51	35
36	54	41
37	68	51
38	39	55
39	28	54
40	30	58
41	20	48
42	21	45
43	22	43
44	22	36
45	21	33
46	14	33
47	26	40
48	26	45
49	29	38
50	31	44
51	16	48
52	19	48
53	19	42
54	20	40
55	22	29
56	24	20
57	35	22
58	42	23
59	44	32
60	42	28
61	37	38
62	36	34
63	28	26
64	22	27
65	14	17
66	17	14
67	61	13
68	69	15
69	163	17
70	158	15
71	202	12
72	416	13
73	408	13
74	461	14
75	699	13
76	507	8
77	476	4
78	472	3
79	50	2
80	116	2
81	119	5
82	193	12
83	235	20
84	182	24
85	202	30
86	513	31
87	527	29
88	507	35
89	498	33
90	201	30
91	461	28
92	442	30
93	3381	35
94	3397	33
95	3395	29
96	3404	26
97	177	23
98	226	18
99	194	26
100	189	24
101	284	20
102	285	21
103	267	17
104	264	21
105	99	30
106	86	38
107	34	39
108	32	42
109	29	38
110	19	36
111	15	46
112	17	40
113	14	40
114	35	43
115	34	34
116	34	31
117	39	25
118	30	20
119	36	22
120	34	26
121	38	27
122	37	28
123	15	32
124	27	28
125	29	32
126	32	37
127	32	35
128	28	38
129	31	57
130	38	68
131	39	68
132	33	69
133	35	54
134	95	38
135	93	31
136	96	26
137	88	22
138	161	20
139	156	21
140	158	17
141	277	18
142	238	15
143	224	12
144	235	16
145	92	14
146	80	11
147	74	11
148	50	11
149	36	19
150	41	28
151	78	33
152	66	39
153	96	36
154	86	29
155	54	36
156	54	35
157	33	39
158	37	40
159	29	32
160	29	30
161	22	29
162	17	24
163	14	28
164	24	31
165	45	31
166	43	34
167	46	36
168	33	31
169	15	29
170	13	22
171	17	29
172	23	27
173	25	36
174	31	38
175	37	35
176	37	38
177	36	33
178	108	32
179	168	25
180	166	31
181	159	32
182	81	37
183	26	36
184	24	35
185	20	32
186	21	27
187	20	23
188	16	18
189	16	20
190	27	25
191	33	25
192	28	39
193	35	43
194	21	49
195	26	44
196	30	32
197	31	20
198	32	21
199	30	15
200	30	12
201	27	16
202	94	19
203	111	21
204	107	21
205	108	35
206	42	32
207	46	32
208	29	30
209	21	25
210	24	19
211	26	18
212	26	16
213	25	17
214	23	19
215	21	19
216	15	16
217	14	15
218	18	17
219	17	15
220	14	16
221	15	27
222	18	36
223	20	39
224	25	43
225	23	45
226	55	44
227	62	37
228	57	42
229	69	34
230	62	31
231	64	35
232	55	29
233	44	24
234	41	23
235	16	27
236	16	24
237	20	26
238	23	24
239	20	19
240	18	16
241	15	16
242	7	17
243	12	12
244	12	14
245	16	11
246	19	13
