pos	DEL	INS
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	1	0
12	2	0
13	2	0
14	3	0
15	3	0
16	3	0
17	3	0
18	5	0
19	7	0
20	7	0
21	8	1
22	10	1
23	10	2
24	19	2
25	19	2
26	19	2
27	29	2
28	30	2
29	28	2
30	30	1
31	25	1
32	25	2
33	19	3
34	18	4
35	19	3
36	23	5
37	21	8
38	21	10
39	10	11
40	11	11
41	9	11
42	3	10
43	4	10
44	5	9
45	6	7
46	8	7
47	9	9
48	8	11
49	10	9
50	12	11
51	12	11
52	14	11
53	15	7
54	15	5
55	15	5
56	15	5
57	16	4
58	21	2
59	22	2
60	20	1
61	19	1
62	20	1
63	16	1
64	14	1
65	6	2
66	10	2
67	10	2
68	9	1
69	48	1
70	48	2
71	52	1
72	57	1
73	95	1
74	100	1
75	93	1
76	69	0
77	68	0
78	64	0
79	25	0
80	33	0
81	42	0
82	98	1
83	112	3
84	121	5
85	137	6
86	168	7
87	170	7
88	167	9
89	167	10
90	161	8
91	430	7
92	421	8
93	415	9
94	417	8
95	420	7
96	415	5
97	126	3
98	169	2
99	150	3
100	148	4
101	137	4
102	129	5
103	121	6
104	121	7
105	71	9
106	68	9
107	15	9
108	13	10
109	11	9
110	10	11
111	8	15
112	7	13
113	4	13
114	3	15
115	4	13
116	5	11
117	7	8
118	7	6
119	4	6
120	5	3
121	5	4
122	5	4
123	5	6
124	6	7
125	8	6
126	7	6
127	7	8
128	9	8
129	9	14
130	8	12
131	10	12
132	8	13
133	9	10
134	18	10
135	20	7
136	19	4
137	14	4
138	67	3
139	65	3
140	67	3
141	74	3
142	78	3
143	86	2
144	86	2
145	40	2
146	39	2
147	29	1
148	27	3
149	21	5
150	27	6
151	29	6
152	21	8
153	27	8
154	26	7
155	28	7
156	28	8
157	27	8
158	23	9
159	14	9
160	13	10
161	9	7
162	8	6
163	8	6
164	7	7
165	7	6
166	5	6
167	5	7
168	3	7
169	4	6
170	4	5
171	10	7
172	10	7
173	12	7
174	12	7
175	14	7
176	20	8
177	13	7
178	13	8
179	13	6
180	13	5
181	12	8
182	9	9
183	11	9
184	10	9
185	9	9
186	9	10
187	11	8
188	9	7
189	10	7
190	8	7
191	7	8
192	5	8
193	10	12
194	9	13
195	9	12
196	11	10
197	10	8
198	11	9
199	14	5
200	18	4
201	20	4
202	21	4
203	23	3
204	23	4
205	22	5
206	18	5
207	17	5
208	16	4
209	10	6
210	8	6
211	10	6
212	9	5
213	8	4
214	8	4
215	7	4
216	7	4
217	4	4
218	5	4
219	4	4
220	5	5
221	5	9
222	6	11
223	6	12
224	7	10
225	7	11
226	16	12
227	19	11
228	23	10
229	22	8
230	20	8
231	23	7
232	14	7
233	16	5
234	13	5
235	12	4
236	12	4
237	11	4
238	9	4
239	7	4
240	6	4
241	6	5
242	5	5
243	8	3
244	8	5
245	10	5
246	9	6
247	10	6
