pos	DEL	INS
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	1	1
10	36	20
11	43	24
12	43	27
13	8	10
14	10	19
15	6	22
16	15	36
17	20	50
18	26	50
19	33	46
20	72	38
21	78	55
22	73	53
23	66	60
24	29	47
25	41	49
26	31	45
27	27	56
28	21	107
29	24	115
30	15	110
31	13	128
32	27	119
33	34	102
34	36	85
35	34	69
36	27	50
37	27	37
38	19	64
39	17	59
40	29	57
41	28	39
42	26	46
43	22	56
44	25	54
45	33	67
46	29	65
47	39	70
48	48	76
49	55	71
50	46	77
51	53	68
52	55	64
53	52	62
54	54	53
55	6	61
56	11	70
57	10	75
58	20	65
59	30	56
60	36	57
61	55	50
62	53	37
63	53	50
64	30	55
65	33	49
66	21	42
67	41	36
68	41	40
69	44	48
70	118	47
71	102	57
72	97	60
73	59	80
74	46	84
75	51	100
76	37	100
77	47	97
78	65	90
79	75	79
80	63	63
81	35	67
82	21	89
83	26	88
84	70	91
85	76	80
86	194	91
87	161	71
88	165	58
89	144	48
90	286	46
91	306	38
92	284	40
93	307	32
94	158	47
95	240	43
96	213	62
97	209	64
98	228	70
99	102	63
100	103	90
101	68	70
102	67	62
103	60	58
104	22	41
105	44	36
106	43	27
107	52	36
108	51	45
109	37	42
110	13	53
111	16	41
112	12	41
113	341	58
114	342	62
115	355	57
116	45	28
117	34	76
118	165	84
119	160	86
120	272	97
121	274	84
122	133	72
123	24	48
124	40	42
125	45	37
126	34	39
127	31	38
128	274	50
129	270	50
130	264	40
131	65	25
132	43	19
133	38	17
134	36	14
135	15	18
136	24	16
137	41	41
138	68	43
139	65	42
140	63	30
141	32	52
142	34	56
143	26	51
144	35	40
145	29	37
146	29	58
147	19	74
148	21	76
149	82	79
150	82	57
151	80	44
152	16	29
153	39	41
154	40	68
155	40	83
156	16	79
157	26	60
158	26	52
159	23	48
160	11	39
161	5	46
162	5	135
163	30	121
164	33	112
165	45	58
166	44	70
167	23	70
168	16	65
169	22	63
170	29	59
171	29	88
172	26	108
173	19	106
174	9	94
175	7	98
176	7	75
177	20	54
178	21	28
179	39	21
180	38	22
181	65	48
182	56	75
183	47	90
184	17	96
185	9	86
186	18	96
187	28	69
188	27	65
189	51	46
190	62	50
191	143	88
192	146	80
193	249	78
194	372	53
195	349	48
196	249	58
197	155	57
198	59	56
199	49	57
200	48	47
201	43	40
202	157	29
203	163	33
204	169	57
205	81	55
206	100	51
207	69	58
208	53	78
209	54	74
210	28	76
211	29	55
212	31	45
213	34	27
214	34	31
215	47	43
216	35	55
217	34	57
218	38	52
219	35	53
220	75	62
221	77	77
222	277	75
223	269	92
224	233	75
225	23	77
226	28	69
227	22	76
228	24	81
229	18	87
230	20	87
231	30	115
232	29	108
233	28	132
234	18	140
235	24	140
236	33	115
237	30	81
238	24	58
239	20	55
240	41	46
241	48	55
242	52	53
243	134	58
244	150	67
245	136	82
246	187	130
247	102	146
