pos	DEL	INS
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	1	0
37	1	0
38	2	0
39	2	0
40	2	0
41	2	0
42	2	0
43	2	0
44	2	0
45	2	0
46	2	0
47	1	0
48	1	0
49	1	0
50	1	1
51	1	1
52	1	1
53	1	1
54	1	1
55	1	1
56	1	1
57	1	1
58	0	1
59	0	1
60	0	1
61	0	1
62	0	0
63	0	0
64	0	0
65	0	0
66	0	0
67	0	0
68	0	0
69	0	1
70	1	1
71	1	1
72	1	1
73	1	1
74	1	1
75	1	1
76	1	1
77	1	1
78	1	1
79	1	1
80	1	1
81	1	0
82	1	0
83	1	0
84	1	0
85	1	0
86	4	0
87	5	0
88	5	0
89	7	0
90	8	0
91	10	0
92	11	0
93	11	0
94	11	0
95	10	0
96	10	0
97	8	0
98	8	0
99	7	0
100	7	1
101	7	1
102	2	1
103	0	1
104	0	1
105	0	1
106	0	1
107	0	1
108	0	1
109	0	1
110	0	1
111	0	1
112	0	0
113	0	0
114	0	0
115	0	0
116	0	0
117	0	1
118	0	1
119	1	1
120	1	1
121	1	1
122	1	1
123	1	1
124	1	1
125	1	1
126	1	1
127	1	1
128	1	0
129	2	0
130	1	0
131	1	0
132	1	0
133	1	0
134	1	1
135	1	1
136	1	1
137	1	1
138	1	1
139	1	1
140	1	2
141	1	2
142	1	2
143	1	2
144	1	2
145	0	2
146	0	2
147	0	2
148	0	2
149	0	2
150	0	2
151	0	2
152	0	2
153	0	1
154	0	1
155	0	1
156	0	1
157	0	1
158	0	1
159	0	1
160	0	1
161	0	1
162	0	1
163	0	1
164	0	1
165	1	1
166	1	1
167	1	1
168	2	1
169	2	1
170	2	1
171	2	1
172	2	1
173	2	2
174	2	2
175	2	3
176	2	3
177	2	4
178	2	4
179	2	4
180	2	3
181	1	3
182	2	3
183	2	3
184	2	2
185	2	2
186	3	2
187	3	2
188	3	2
189	3	2
190	4	1
191	4	1
192	5	1
193	7	1
194	9	1
195	8	1
196	10	1
197	10	1
198	9	1
199	9	1
200	9	1
201	8	1
202	8	0
203	8	0
204	7	0
205	7	0
206	6	0
207	4	0
208	2	2
209	2	3
210	2	3
211	3	3
212	3	3
213	3	3
214	3	3
215	4	3
216	4	3
217	4	4
218	4	4
219	3	4
220	3	3
221	3	2
222	3	2
223	3	3
224	3	3
225	3	3
226	4	3
227	4	3
228	4	3
229	4	2
230	4	2
231	4	2
232	4	2
233	5	2
234	4	3
235	4	2
236	4	2
237	4	2
238	4	3
239	4	3
240	4	3
241	3	4
242	3	5
243	3	5
244	3	4
245	3	4
246	3	4
247	3	4
