pos	DEL	INS
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	1	0
14	2	0
15	4	1
16	4	1
17	6	1
18	8	1
19	9	2
20	13	2
21	13	1
22	17	1
23	17	2
24	27	2
25	32	1
26	32	2
27	40	2
28	39	2
29	34	1
30	35	1
31	33	2
32	27	4
33	18	5
34	15	6
35	16	6
36	18	7
37	18	11
38	18	9
39	13	10
40	14	11
41	14	10
42	9	9
43	9	7
44	9	7
45	6	3
46	9	1
47	9	4
48	12	8
49	17	8
50	18	10
51	19	13
52	20	14
53	22	12
54	23	12
55	24	10
56	29	8
57	32	7
58	42	6
59	41	6
60	39	5
61	40	4
62	34	3
63	30	5
64	33	4
65	24	3
66	26	4
67	26	3
68	25	4
69	62	4
70	62	3
71	63	3
72	76	3
73	121	4
74	128	4
75	107	3
76	96	3
77	95	3
78	86	2
79	30	2
80	34	3
81	39	2
82	73	2
83	86	2
84	87	3
85	102	7
86	118	7
87	127	7
88	124	11
89	117	13
90	115	13
91	302	14
92	295	13
93	301	11
94	302	10
95	303	8
96	302	6
97	97	7
98	134	8
99	123	8
100	122	8
101	101	6
102	88	6
103	83	7
104	80	5
105	41	6
106	37	9
107	13	8
108	13	7
109	11	10
110	8	10
111	8	11
112	7	10
113	6	11
114	8	14
115	9	12
116	11	11
117	14	9
118	14	9
119	13	9
120	14	7
121	17	3
122	16	3
123	17	2
124	15	1
125	17	2
126	17	2
127	18	2
128	17	4
129	19	7
130	21	12
131	26	13
132	27	15
133	29	15
134	34	14
135	35	10
136	31	8
137	22	7
138	58	7
139	60	4
140	66	3
141	66	2
142	68	2
143	72	4
144	68	3
145	37	4
146	37	4
147	30	4
148	23	4
149	21	4
150	24	4
151	25	4
152	24	4
153	26	4
154	25	5
155	29	6
156	31	6
157	32	9
158	30	10
159	20	11
160	19	11
161	16	10
162	15	11
163	13	8
164	10	10
165	13	9
166	11	9
167	12	9
168	11	8
169	11	8
170	11	7
171	12	6
172	12	4
173	14	6
174	16	7
175	15	10
176	25	10
177	19	11
178	21	11
179	24	10
180	26	14
181	23	12
182	21	16
183	21	15
184	20	16
185	20	16
186	19	12
187	19	12
188	13	8
189	9	9
190	5	11
191	4	12
192	6	15
193	8	13
194	7	13
195	8	13
196	10	9
197	10	9
198	11	5
199	12	4
200	12	3
201	11	4
202	16	4
203	16	4
204	14	6
205	21	7
206	18	9
207	18	9
208	16	10
209	11	11
210	10	8
211	14	8
212	13	6
213	10	7
214	12	6
215	12	5
216	12	7
217	8	7
218	9	8
219	7	9
220	7	7
221	9	9
222	11	12
223	11	10
224	13	10
225	15	8
226	25	9
227	27	6
228	24	7
229	24	5
230	24	6
231	26	7
232	18	7
233	17	7
234	15	8
235	15	7
236	15	7
237	14	6
238	14	6
239	12	7
240	11	6
241	10	5
242	10	5
243	12	4
244	12	4
245	8	5
246	8	5
247	10	5
