pos	DEL	INS
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	3	13
9	9	17
10	9	19
11	6	9
12	16	10
13	16	9
14	17	10
15	11	9
16	6	8
17	11	18
18	11	19
19	9	22
20	4	14
21	4	13
22	6	10
23	6	7
24	7	10
25	7	12
26	4	16
27	2	16
28	3	15
29	4	12
30	4	12
31	6	18
32	7	21
33	6	27
34	2	29
35	2	21
36	2	15
37	2	6
38	1	10
39	0	21
40	0	24
41	5	22
42	11	20
43	12	18
44	11	21
45	10	19
46	8	19
47	10	14
48	48	22
49	46	20
50	48	23
51	25	14
52	18	12
53	19	11
54	21	15
55	31	12
56	28	10
57	24	7
58	26	12
59	22	11
60	21	18
61	18	15
62	20	16
63	35	19
64	31	16
65	35	17
66	23	12
67	34	13
68	44	12
69	52	7
70	53	8
71	126	9
72	161	23
73	159	22
74	259	141
75	191	133
76	162	129
77	31	74
78	14	43
79	8	35
80	9	32
81	12	32
82	11	29
83	18	28
84	11	39
85	16	37
86	13	39
87	13	31
88	13	29
89	35	24
90	37	13
91	29	7
92	13	6
93	9	12
94	10	14
95	12	16
96	13	27
97	20	25
98	21	32
99	21	24
100	18	24
101	15	21
102	10	26
103	5	27
104	5	27
105	10	28
106	11	26
107	7	22
108	3	16
109	21	15
110	33	22
111	32	21
112	15	20
113	148	46
114	146	51
115	145	50
116	12	44
117	11	26
118	12	25
119	16	25
120	22	25
121	15	41
122	23	44
123	52	46
124	41	34
125	65	30
126	69	32
127	64	29
128	37	36
129	41	34
130	47	31
131	47	33
132	28	28
133	49	30
134	38	27
135	32	44
136	18	46
137	15	49
138	17	35
139	21	39
140	23	37
141	30	40
142	24	39
143	19	35
144	27	31
145	17	20
146	94	20
147	91	18
148	94	36
149	309	40
150	233	40
151	238	39
152	49	29
153	32	23
154	48	22
155	51	23
156	40	31
157	9	24
158	24	26
159	21	21
160	21	21
161	8	26
162	45	26
163	44	27
164	49	26
165	23	25
166	24	24
167	27	20
168	27	16
169	29	16
170	12	20
171	28	26
172	32	39
173	182	42
174	185	41
175	166	35
176	16	32
177	19	36
178	17	46
179	18	42
180	13	44
181	7	46
182	18	73
183	19	76
184	24	104
185	18	111
186	18	110
187	23	86
188	21	58
189	21	38
190	19	36
191	34	28
192	36	35
193	35	29
194	100	32
195	113	44
196	106	63
197	156	113
198	83	132
199	87	116
200	17	85
201	15	56
202	7	46
203	17	30
204	25	34
205	23	50
206	17	65
207	26	63
208	18	58
209	16	51
210	15	55
211	13	47
212	4	47
213	6	43
214	11	59
215	25	71
216	43	69
217	57	55
218	79	88
219	67	91
220	68	132
221	75	97
222	69	84
223	59	77
224	75	70
225	65	60
226	75	49
227	19	63
228	23	58
229	13	54
230	21	48
231	16	44
232	13	35
233	3	53
234	5	51
235	6	50
236	7	26
237	9	22
238	6	26
239	11	56
240	11	58
241	35	63
242	56	52
243	48	60
244	31	53
245	23	62
246	23	60
247	28	108
