pos	DEL	INS
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	1	0
13	2	0
14	3	0
15	5	1
16	6	1
17	7	1
18	7	1
19	12	1
20	11	1
21	8	0
22	8	0
23	8	0
24	14	0
25	13	0
26	13	0
27	23	0
28	24	0
29	24	0
30	24	1
31	23	3
32	20	3
33	15	3
34	15	3
35	12	3
36	13	2
37	8	3
38	7	6
39	5	5
40	5	5
41	5	5
42	3	5
43	3	5
44	3	2
45	3	1
46	5	1
47	5	1
48	5	3
49	5	3
50	5	6
51	6	6
52	6	7
53	4	6
54	6	4
55	6	4
56	9	2
57	11	2
58	16	1
59	18	1
60	18	1
61	17	2
62	17	1
63	13	2
64	13	2
65	6	2
66	14	2
67	12	2
68	17	2
69	35	2
70	36	2
71	40	2
72	43	1
73	68	0
74	65	0
75	60	1
76	50	1
77	47	1
78	43	1
79	17	1
80	19	1
81	23	1
82	64	1
83	72	1
84	74	1
85	88	1
86	109	1
87	111	1
88	115	1
89	102	0
90	106	0
91	248	0
92	232	0
93	240	0
94	242	0
95	248	1
96	246	1
97	87	1
98	127	1
99	116	1
100	111	1
101	87	1
102	86	0
103	78	1
104	80	1
105	38	2
106	38	2
107	11	2
108	10	3
109	9	3
110	8	2
111	6	4
112	5	4
113	1	3
114	3	5
115	4	4
116	7	4
117	7	3
118	10	3
119	11	2
120	11	1
121	12	1
122	7	0
123	7	0
124	8	0
125	4	1
126	4	1
127	4	2
128	4	2
129	7	2
130	8	2
131	12	3
132	12	4
133	13	3
134	22	4
135	21	4
136	19	4
137	13	4
138	50	3
139	51	3
140	56	3
141	54	2
142	54	1
143	61	2
144	70	1
145	41	2
146	44	4
147	40	4
148	33	4
149	31	4
150	23	4
151	23	4
152	19	1
153	17	2
154	17	2
155	17	2
156	16	3
157	18	2
158	18	2
159	12	1
160	13	1
161	11	1
162	14	0
163	13	0
164	10	1
165	10	2
166	10	3
167	8	3
168	4	3
169	5	3
170	6	2
171	10	1
172	11	2
173	13	2
174	13	1
175	13	2
176	20	2
177	15	2
178	16	1
179	16	1
180	16	2
181	20	1
182	19	1
183	18	2
184	20	2
185	19	2
186	18	1
187	18	1
188	12	2
189	10	2
190	9	4
191	7	5
192	6	5
193	6	6
194	6	5
195	6	5
196	5	5
197	5	2
198	8	3
199	11	1
200	13	1
201	14	1
202	13	1
203	14	3
204	12	3
205	14	4
206	12	4
207	10	4
208	8	5
209	7	3
210	7	3
211	9	1
212	7	2
213	8	2
214	8	3
215	8	4
216	7	4
217	6	3
218	7	5
219	6	5
220	6	4
221	6	5
222	11	6
223	11	5
224	12	4
225	14	3
226	22	3
227	22	2
228	21	3
229	22	3
230	24	2
231	29	2
232	20	2
233	15	2
234	13	2
235	14	0
236	12	0
237	9	0
238	3	1
239	3	1
240	3	1
241	5	2
242	4	2
243	4	2
244	4	2
245	4	1
246	6	1
247	4	4
