pos	DEL	INS
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	1	0
9	40	24
10	41	37
11	43	53
12	12	31
13	26	46
14	131	49
15	137	58
16	148	75
17	142	68
18	82	74
19	255	73
20	255	64
21	250	59
22	300	40
23	234	44
24	230	41
25	92	51
26	125	62
27	344	90
28	337	87
29	464	86
30	352	102
31	320	121
32	141	152
33	139	123
34	129	115
35	105	126
36	299	148
37	310	183
38	309	207
39	390	201
40	395	198
41	333	168
42	62	127
43	59	118
44	61	94
45	79	86
46	587	122
47	616	137
48	597	178
49	104	137
50	109	188
51	71	181
52	35	198
53	63	153
54	65	146
55	58	110
56	57	109
57	84	134
58	103	143
59	178	160
60	161	106
61	199	116
62	104	131
63	107	153
64	64	142
65	63	84
66	379	89
67	522	83
68	554	88
69	445	60
70	438	48
71	607	32
72	1753	34
73	1767	35
74	1692	36
75	1395	30
76	1893	30
77	1873	29
78	1874	27
79	149	26
80	278	20
81	372	21
82	501	29
83	651	47
84	465	53
85	622	50
86	1846	54
87	1888	61
88	1747	66
89	1769	64
90	730	64
91	1935	57
92	2086	50
93	14555	35
94	14617	30
95	14558	25
96	14821	24
97	1250	47
98	1259	51
99	1091	59
100	1112	48
101	1417	40
102	1246	30
103	986	21
104	923	15
105	328	37
106	261	52
107	179	61
108	131	74
109	141	106
110	112	126
111	91	143
112	81	111
113	74	145
114	243	222
115	244	212
116	361	172
117	262	94
118	211	88
119	123	85
120	116	93
121	112	75
122	134	154
123	88	177
124	98	180
125	92	131
126	92	127
127	99	135
128	90	138
129	79	170
130	75	256
131	80	268
132	65	238
133	111	178
134	281	143
135	354	111
136	322	93
137	272	74
138	361	77
139	351	67
140	353	58
141	647	57
142	543	50
143	501	50
144	373	37
145	454	32
146	464	48
147	475	71
148	167	83
149	119	112
150	148	164
151	349	211
152	380	193
153	419	150
154	303	117
155	200	134
156	208	143
157	134	153
158	112	148
159	86	125
160	58	104
161	55	94
162	58	77
163	74	101
164	54	108
165	94	98
166	90	95
167	89	97
168	105	139
169	77	147
170	86	160
171	64	145
172	120	127
173	127	119
174	136	113
175	79	102
176	86	199
177	100	212
178	307	222
179	405	103
180	421	203
181	476	197
182	321	203
183	218	109
184	89	106
185	102	81
186	96	98
187	108	105
188	70	108
189	78	103
190	119	183
191	101	189
192	95	239
193	66	181
194	70	184
195	98	130
196	96	91
197	84	76
198	57	66
199	121	63
200	132	72
201	124	73
202	258	75
203	292	80
204	284	97
205	432	171
206	264	183
207	311	160
208	108	138
209	91	99
210	59	83
211	84	41
212	86	41
213	83	64
214	61	90
215	56	104
216	45	95
217	44	89
218	43	98
219	45	80
220	26	67
221	40	55
222	81	100
223	131	122
224	182	136
225	169	114
226	216	133
227	197	108
228	168	140
229	218	111
230	216	106
231	224	156
232	270	152
233	215	141
234	258	99
235	124	103
236	154	86
237	88	79
238	116	71
239	82	70
240	68	66
241	27	82
242	25	83
243	24	74
